Variables	Category	NAs	Relevance
FUELANNUAL	Y	0	TRUE
HSVAL	X	0	TRUE
GOR_DV	Dynamics	0.03479471120389701	TRUE
YEAR	Dynamics	0	TRUE
AGECHY_DV	Household	73.13848295059151	NA
HHSIZE	Household	0	TRUE
HHTYPE_DV	Household	0	TRUE
HSBEDS	Household	0	TRUE
TENURE_DV	Household	0	TRUE
HSOWND	Household	0	FALSE
HSYRBUY	Household	76.68754349338901	NA
HSCOST	Household	77.80097425191371	NA
MLSTAT	Household	81.07167710508003	NA
NEMP_DV	Household	0	TRUE
NKIDS_DV	Household	0	TRUE
NPENS_DV	Household	0	TRUE
NUE_DV	Household	0	TRUE
MVYR	Household	94.1892832289492	NA
MVEVER	Household	75.95685455810717	NA
LKMOVE	Household	7.898399443284621	TRUE
XPMOVE	Household	7.967988865692415	TRUE
MRJSEG_DV	Economics	33.26374391092554	NA
FIHHMNGRS_DV	Economics	0	TRUE
PAYGU_DV	Economics	51.67014613778706	NA
FIYRDIC_DV	Economics	7.376478775226166	TRUE
FINNOW	Economics	7.6548364648573415	TRUE
FINFUT	Economics	8.38552540013918	TRUE
SAVE	Economics	7.6548364648573415	TRUE
HSYR04	Economics	87.50869867780098	NA
MGOLD	Economics	88.55254001391788	NA
MGLIFE	Economics	87.68267223382045	NA
MGTYPE	Economics	87.54349338900487	NA
MGEXTRA	Economics	44.954766875434935	NA
MGNEW	Economics	95.82463465553236	NA
XPMG	Economics	47.18162839248434	NA
XPHSDB	Economics	67.64091858037578	NA
RENTF	Economics	99.19972164231037	NA
RENTLL	Economics	99.19972164231037	NA
RENT	Economics	99.26931106471815	NA
JBSTAT	Economics	0	TRUE
JBSAT_D1	Economics	67.67571329157967	NA
JBPERFP	Economics	51.878914405010434	NA
JBONUS	Economics	51.774530271398746	NA
JBRISE	Economics	52.052887961029924	NA
JBPEN	Economics	52.12247738343771	NA
JBPENM	Economics	64.43980514961726	NA
JBFXINF	Economics	51.70494084899096	NA
JBLKCHB	Economics	43.14544189283229	NA
JBSEC	Economics	52.19206680584551	NA
TUJBPL	Economics	52.29645093945721	NA
TUIN1	Economics	76.86151704940849	NA
DEPENTH1	Economics	43.0758524704245	NA
WKTIME	Economics	43.0410577592206	NA
WKENDS	Economics	43.0410577592206	NA
WORKDIS	Economics	47.84272790535839	NA
WKAUT1	Economics	43.0758524704245	NA
WKAUT2	Economics	43.0758524704245	NA
WKAUT3	Economics	43.0410577592206	NA
WKAUT4	Economics	43.0410577592206	NA
WKAUT5	Economics	43.0410577592206	NA
QFHIGH	Cultural	36.53444676409186	NA
AHVWELL	Cultural	98.26026443980514	NA
SF1	Cultural	0.10438413361169101	TRUE
RACEL_DV	Cultural	6.85455810716771	TRUE
UKBORN	Cultural	75.95685455810717	NA
PAJU	Cultural	81.80236604036186	NA
MAJU	Cultural	81.87195546276966	NA
PCHAS	Cultural	99.82602644398052	NA
PCNET	Cultural	5.949895615866389	FALSE
PCBROAD	Cultural	10.716771050800277	FALSE
MOBUSE	Cultural	0	FALSE
NETPUSE	Cultural	7.376478775226166	FALSE
AGE	Cultural	NA	NA
AGEGR10_DV	Cultural	0	FALSE
SEX	Cultural	0	TRUE
NCARS	Environmental	4.314544189283229	TRUE
CARSHARE	Environmental	97.91231732776617	NA
WKHOME	Environmental	96.86847599164928	NA
COMBIKE	Environmental	91.33611691022965	NA
COMBUS	Environmental	89.70076548364648	NA
COMTRAIN	Environmental	95.65066109951287	NA
COMWALK	Environmental	91.16214335421016	NA
ENVHABIT1_A	Environmental	7.689631176061239	TRUE
ENVHABIT3_A	Environmental	7.620041753653445	TRUE
ENVHABIT4_A	Environmental	7.620041753653445	TRUE
ENVHABIT6_A	Environmental	8.24634655532359	TRUE
ENVHABIT8_A	Environmental	7.6548364648573415	TRUE
FUELDUEL	Fuel.incentives	10.82115518441197	TRUE
HEATCH	Fuel.incentives	0	TRUE
HHEAT	Fuel.incentives	0.06958942240779402	TRUE
